id,date,content,username,retweet_counter,favorite_count,reply_count,user_followers_count,country
1357075217865035776,2021-02-03 21:15:19+00:00,"Are we going to address what’s happening in India ? Let my good people free !! Unfair to those who struggle, the farmers provide a way of living and they need to have a right to a way of life.   Join me and let’s bring awareness. #FarmersProtest ✊🏾✊🏾 

We all in this together !",BaronDavis,12712,30070,2335,1061519,"Los Angeles, CA"
1357054451769606147,2021-02-03 19:52:48+00:00,"Here’s an updated toolkit by people on the ground in India if you want to help. (They removed their previous document as it was outdated.)
#StandWithFarmers #FarmersProtest

https://t.co/ZGEcMwHUNL",GretaThunberg,15164,56031,10700,4975223,Sverige
1357048037302960129,2021-02-03 19:27:19+00:00,"Happy to share that I’ve donated $10,000 to provide medical assistance to the farmers in need in India to help save lives during these times. I hope we can prevent any additional life from being lost. 🙏🏾 #FarmersProtest https://t.co/0WoEw0l3ij",TeamJuJu,23240,59222,7682,1191494,"Pittsburgh, PA"
1357037018342019075,2021-02-03 18:43:32+00:00,It’s great to see more attention being brought to the #FarmersProtest in India. How would you react if your livelihood was being taken away? https://t.co/Vbspsotz1Q,danriccio_,6483,21606,549,7414,"Vancouver, British Columbia"
1357028056293122049,2021-02-03 18:07:55+00:00,"The awareness @rihanna, @GretaThunberg have brought to India's #FarmersProtest is great. 

But praise, support + resources should go to brave Sikh farmers, activists, organizers, journalists + others on the ground in India who have been marching since August for their rights. ✊🏾",KarenAttiah,7865,26564,999,237826,Texas 
1357009721090138112,2021-02-03 16:55:04+00:00,"Should be talking about this! #FarmersProtest

https://t.co/Xh09iTvVoF",kylekuzma,17354,39641,4167,1084164,"Los Angeles, CA"
1356987226345857024,2021-02-03 15:25:41+00:00,Farmers feed the world. Fight for them. Protect them. Respect them. #FarmersProtest,vanessa_vash,11195,39289,720,207747,Planet Earth 🌍 
1356971102556327941,2021-02-03 14:21:36+00:00,"I stand in solidarity with the #FarmersProtest in India.

Thank you for speaking out about this @rihanna https://t.co/0PmhLDU8et",PiperPerabo,7281,25084,659,185715,
1356935033609617408,2021-02-03 11:58:17+00:00,#FarmersProtest I am an Indian.. I stand with our farmers  #justasking https://t.co/KHUyw5yNUx,prakashraaj,4200,15041,247,2552089,india
1356920344171405314,2021-02-03 10:59:55+00:00,Raise your voice for the farmers #FarmersProtest,vanessa_vash,12985,47378,805,207747,Planet Earth 🌍 
1356908051656306692,2021-02-03 10:11:04+00:00,"I see Bollywood got their whatsapp from modi this morning. 😴

#farmersprotest",pbn,5536,21640,359,52448,Worldwide
1356868623873277952,2021-02-03 07:34:23+00:00,Don't you see what's going on? #FarmersProtest,vanessa_vash,5452,19611,334,207747,Planet Earth 🌍 
