created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,text_processed
2021-03-22 06:33:55,Stop privatisation  #FarmersProtest #23March_किसानों_के_साथ #NoFarmers_NoFood #StopPrivatization_BanEVM https://t.co/c7fDUvDLrq,0,0,Gagan88Pun,169,False,stop privatis nofood banevm
2021-03-22 06:32:51,"Lets get together in this!! We will surely win! 
#FarmersProtest
#23March_किसानों_के_साथ",0,1,iamsaini0515,8,False,let togeth thi will sure
2021-03-22 06:27:50,"Farmers are patient, karma isn’t. Summer at #FarmersProtest https://t.co/REoZvHu16v",0,0,boronwillbe,32,False,patient karma isnt summer
2021-03-22 06:24:40,what happen to these reporters #FarmersProtest https://t.co/sOMYOCryLu,0,6,warrior67432613,123,False,what happen these report
2021-03-22 06:12:48,"Thank you bro

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/01xNweEGf7",1,3,Chhotalikharii,994,False,thank
2021-03-22 06:08:52,"BRING BALLOT PAPER BACK IN ELECTIONS! 🔥🚜🌾
#FarmersProtest #23March_किसानों_के_साथ #evm_हटाओ_लोकतंत्र_बचाओ https://t.co/kIVwtqRzXH",1,2,JatinderTweets,950,False,bring ballot paper back elect
2021-03-22 06:06:44,#FarmersProtest Revolution never stop !,0,0,NitishKumarSi17,471,False,revolut never stop
2021-03-22 06:05:55,shocking !! Aaj tak showing some sort of reality #FarmersProtest  #23March_किसानों_के_साथ #FarmersProtest https://t.co/1OUPZlSqmT,1,1,manpree80440325,324,False,shock show some sort realiti
2021-03-22 06:00:51,That’s why the #FarmersProtest is the LARGEST protest in HISTORY! 💙 #KisaanMajdoorEktaZindabad https://t.co/tx3q6cLbpA,26,71,DoabanJatti,2640,False,that largest histori
2021-03-22 05:59:43,"#23March_किसानों_के_साथ 
#FarmersProtest ah, the cycle of corruption. https://t.co/0BjHFbtHM4",1,1,indianproud12,144,False,cycl corrupt
2021-03-22 05:55:46,Salute #FarmersProtest #23March_किसानों_के_साथ https://t.co/l7ikkmD92N,2,2,Aman_Sandhu05,464,False,salut
2021-03-22 05:54:16,"Beautiful video
#23March_किसानों_के_साथ
#FarmersProtest https://t.co/A9tttK3kaP",0,0,Jass_k_G,145,False,beauti video
2021-03-22 05:53:58,Farmers are the best #FarmersProtest #23March_किसानों_के_साथ https://t.co/UDQ2KztPUf,3,2,Aman_Sandhu05,464,False,best
2021-03-22 05:53:12,Never forget #FarmersProtest  #23March_किसानों_के_साथ https://t.co/actUjotGNW,11,10,Aman_Sandhu05,464,False,never forget
2021-03-22 05:52:40,Support farmers #FarmersProtest #23March_किसानों_के_साथ https://t.co/66Sp0WKGyV,3,4,Aman_Sandhu05,464,False,support
2021-03-22 05:40:50,"Respect for those who support #FarmersProtest 

#23March_किसानों_के_साथ  #StandWithFarmers https://t.co/ofATwZPvk7",2,2,AntardeepK,28,False,respect those support
2021-03-22 05:39:23,"A country they dreamt is our responsibilty too

#23March_किसानों_के_साथ 
#FarmersProtest #StandWithFarmers https://t.co/tUPO2zhL66",8,5,AntardeepK,28,False,countri they dreamt responsibilti
2021-03-22 05:39:06,"Time to show support for farmers in person at Delhi borders. A request to all Indians.

#FarmersProtest #23March_किसानों_के_साथ",2,1,gurpreetarg,3,False,time show support person delhi border request indian
2021-03-22 05:38:57,"Agree 100%  #23March_किसानों_के_साथ
#FarmersProtest https://t.co/trySxb9siG",5,3,tasveersandhu,693,False,agre 100%
2021-03-22 05:36:26,"The only purpose of no attention to #FarmersProtest is to discredit them.

Look at us, does this affect us equally now as it used to?",1,1,MahvishAnsari7,204,False,onli purpos attent discredit them look doe thi affect equal use
2021-03-22 05:35:26,"My courage is bigger than your threats.
My struggle is older than your life #FarmersProtest #MondayMotivation https://t.co/EvBiaLfD6r",0,0,satveer5400,169,False,courag bigger than your threat struggl older than your life
2021-03-22 05:35:00,"Repeal farm laws.
Kissan ekta zindabad.
We support #FarmersProtest
#23March_किसानों_के_साथ",18,14,Chahal02107907,995,False,repeal farm law kissan ekta zindabad support
2021-03-22 05:32:19,"Don't forget to use this hashtag with each tweet regarding farmers

#FarmersProtest #StandWithFarmers https://t.co/vMY8j2Vr9w",0,1,AntardeepK,28,False,dont forget thi hashtag with each tweet regard
2021-03-22 05:31:49,"Hats off  #23March_किसानों_के_साथ
#FarmersProtest https://t.co/FRH6pcwm4F",5,2,tasveersandhu,693,False,hat
2021-03-22 05:31:06,"Remember #23March_किसानों_के_साथ

#FarmersProtest https://t.co/x122Z1PLXV",2,1,ErFarm_,75,False,rememb
2021-03-22 05:30:47,"Our farmers in the peaceful protest.
#FarmersProtest #KisanAndolan 🌾 https://t.co/NSJ5aeP0eQ",1,6,iajaybhinder,108,False,peac
2021-03-22 05:28:12,"Law is not law, if it violates the principles of eternal JUSTICE.

✊🏽

#FarmersProtest

 05:28:12",2,1,DigitalKisanBot,2330,False,violat principl etern justic
2021-03-22 05:26:30,"#JanataCurfew one of the super drama 😂😂😂

#Monday #MondayMotivation #FarmersProtest",0,0,beingjandu,527,False,super drama
2021-03-22 05:26:10,"Get Up, Stand Up, Stand Up for Your Rights.
#FarmersProtest 
#23March_किसानों_के_साथ",8,6,Chahal02107907,995,False,stand stand your right
2021-03-22 05:24:59,"They’re fighting.    For their future 

#FarmersProtest #KisaanMajdoorEktaZindabad https://t.co/ONYieeNDow",0,0,Satveer14992168,24,False,theyr fight their futur
2021-03-22 05:16:04,"These great soul(s) must be our role model.

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/VYdUwLrwbQ",0,1,AntardeepK,28,False,these great soul(s) must role model
2021-03-22 05:14:28,So goes for so-called #FarmersProtest https://t.co/SGXA9jEKKU,0,0,folktorock,169,False,goe call
2021-03-22 05:14:25,"""The greatest glory in living lies not in never falling, but in rising every time we fall.""

#23March_किसानों_के_साथ #FarmersProtest",1,1,singh_harry07,398,False,greatest glori live lie never fall rise everi time fall
2021-03-22 05:14:20,"Still alive in our hearts

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/BUEWOCSMhB",0,0,AntardeepK,28,False,still aliv heart
2021-03-22 05:14:12,"Nothing strengthens authority so much as silence.

 Speak up and support farmers. They are suffering and dying

#FarmersProtest

 05:14:12",1,0,DigitalKisanBot,2330,False,noth strengthen author much silenc speak support they suffer die
2021-03-22 05:08:56,"#StandWithFarmers! Day 38

I still stand in solidarity with the #FarmersProtest! 

Without farmers there is no food! https://t.co/MdhIIlr7ab",3,6,endelstamberg,2639,False,still stand solidar with without there food
