related_id,id,created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,country
1359013362881994752,1359032496227196932,2021-02-09 06:52:51+00:00,@AmandaCerny 🙏🤙 https://t.co/ysTxe4b9UP,0,0,YassiYatt,262,False,"Amritsar, India"
1359013362881994752,1359028132314046464,2021-02-09 06:35:30+00:00,@AmandaCerny thank you! #FarmersCallPMforDebate https://t.co/PgIGdeMrwy,3,0,B56Ricky,114,False,
1359013362881994752,1359020083130081286,2021-02-09 06:03:31+00:00,@AmandaCerny on fire 🔥 https://t.co/hC6cYlJaVU,0,0,Justejthinks,40,False,United States
1359013362881994752,1359018172091826178,2021-02-09 05:55:56+00:00,"@AmandaCerny ❤🙏✊🌾🌾

#FarmersProtest ✊🌾🌾 https://t.co/2ouzEOLkVU",0,0,SirraHem,6,False,"Jaipur, India"
1359013362881994752,1359018073911484417,2021-02-09 05:55:32+00:00,"@AmandaCerny We are studying for the last 75 days But the government of the country does not understand anything, just doing its will #FarmerLivesMatter #FarmersProtest #FarmersCallPMForDebate #ModiGlobalDisaster #FarmersAreIndia #KisaanmazdoorEktaZindabaad #StandWithFarmers #ssm https://t.co/sIvWmwceMn",0,2,i_sukhminhas,55,False,"Jalandhar, India"
1359013362881994752,1359016495657877509,2021-02-09 05:49:16+00:00,@AmandaCerny #FarmersCallPMforDebate #FarmersProtest https://t.co/Ldsxyfc7vd,0,0,jassimehlan,6,False,
1358826225762897920,1359092394998648832,2021-02-09 10:50:52+00:00,@GurratanSingh thank you. Release Nodeep kaur. @DalitCamera @dalitdiva @DalitRising @dalitwomenfight @Bittu_K_R @pbhushan1 @ratanlal72 @kavithalankesh @Komalmeena0403 @itspreetsidhu @free_thinker @TheQuint @Kennedy90913868 @anshuanthony  stay unite they are targeting selectively https://t.co/p1MqwpPCmj,5,14,PankajP75253048,29,False,"Goa, India"
1358826225762897920,1358827317695377408,2021-02-08 17:17:32+00:00,@GurratanSingh tysm https://t.co/JpL7fFLb8p,0,0,lovehazran1,53,False,"Edmonton, Alberta"
1358164266474348544,1358638958192844800,2021-02-08 04:49:04+00:00,@Actor_Siddharth https://t.co/olW61xO2gN,0,0,Dilnoorsinghofl,3,False,
1358164266474348544,1358498519015804928,2021-02-07 19:31:01+00:00,"@Actor_Siddharth 
They have been dying since long that's ok you realised yesterday.
BTW till date &gt;3Lakhs are dead
The #FarmBills2020 is brought to save them but some who wanted d same bill when they were ruling are objecting it bcos they will come to power after this bill https://t.co/BCHm8QRIBG",0,0,Samjudit,79,False,Colourful Country of the World
1358164266474348544,1358494612734627842,2021-02-07 19:15:29+00:00,"@Actor_Siddharth supports the farm laws 👏🏻👏🏻👏🏻

See last line. https://t.co/zTe06iFdIt",0,0,Sam530770,73,False,
1358164266474348544,1358480554962784257,2021-02-07 18:19:38+00:00,"@Actor_Siddharth, you do know that's exactly what the law is about - yes? https://t.co/MoY8rISZV5",0,0,SweetIfYouAre,156,False,
1358164266474348544,1358475438687981576,2021-02-07 17:59:18+00:00,@Actor_Siddharth that’s exactly what the #FarmBills are doing. Have you read them? https://t.co/3DrCylk0ZL,0,0,SriniwaasKalyan,27,False,
1358164266474348544,1358474485595140098,2021-02-07 17:55:31+00:00,"@Actor_Siddharth 
అరేయ్ ఓ బుర్ర తక్కువ మనిషి ఫార్మ్ బిల్స్లో కూడా అదే ఉంది. 
రైతుకి నాచిన రేట్కి అమ్ముకుంటాడు 
రైతుకి నాచిన దగ్గర అమ్ముకుంటాడు
రైతుకి నాచిన వాళ్లకి అమ్ముకుంటాడు https://t.co/QVSxIAfkvR",0,0,AllatiRajeshARS,605,False,Palamuru 🔄Bhagyanagar
1358164266474348544,1358462401138446336,2021-02-07 17:07:30+00:00,"@Actor_Siddharth ...
As i tweeted you earlier...

Have you read the #NewFarmLaws brought in by this dispensation?

If so...
I challenge you for a debate on it...

If not...
Pl do read the bill properly...

Pl dont make a fool of yourslf...Cz it gives other actors a bad name.. https://t.co/tg1BKWEjcf",0,0,ActorSashi,676,False,Chennai...Coimbatore
1358164266474348544,1358327812105592833,2021-02-07 08:12:41+00:00,@Actor_Siddharth nice to see this tweet but do spare few words for the farmers in your state too. They are not doing any better. https://t.co/01xEgyKu36,0,3,VORdotcom,34844,True,"Mumbai, India"
1358164266474348544,1358314383592493056,2021-02-07 07:19:19+00:00,"@Actor_Siddharth hat's off to you. This is what's called "" SPINE"". https://t.co/VucYggNktN",0,1,sanjayjyadav,107,False,"Bengaluru, India"
1358164266474348544,1358306719927992320,2021-02-07 06:48:52+00:00,@Actor_Siddharth ✊🏼✊🏼 #FarmersProtest https://t.co/jOCYTs8HRd,0,0,SatbirKaur47,30,False,"Edmonton, Alberta"
1358164266474348544,1358306078853890054,2021-02-07 06:46:19+00:00,@Actor_Siddharth thank you for supporting us. Rest are coward. https://t.co/0DRcphErso,0,0,PankajP75253048,29,False,"Goa, India"
1358164266474348544,1358305870833188867,2021-02-07 06:45:30+00:00,"@Actor_Siddharth 🤔 This pizza guy ate a wheat tandoori roti &amp; is endorsing Modi's #FarmBills2020 by stating...
""The farmer decides the quantity and price of his harvest.""

Gehu khilao sacch ugalwao😜
https://t.co/IguQcv6xq5",0,1,CoolGuy12356,182,False,Bharat
1358164266474348544,1358294250681556995,2021-02-07 05:59:19+00:00,@Actor_Siddharth Gajab chu hai bhai tu. Oppose kar raha hai ya defend ya bas footage kha raha hai ? Isn’t the last line exactly what #farmlaws do? https://t.co/y3RUalOphJ,0,2,VoiceIndic,98,False,
1358164266474348544,1358286101320896514,2021-02-07 05:26:56+00:00,"@Actor_Siddharth 
Padam Ilana pothukittu veetla paduthu thoongu da thaili😂 https://t.co/KuuWxyDjVJ https://t.co/wB5v6EJr93",0,0,sarath64456100,822,False,"Indian Wells, CA"
1358164266474348544,1358285880432164867,2021-02-07 05:26:04+00:00,"@Actor_Siddharth If the ones who are protesting were to decide the price of wheat, then trust me, we would truly be amazed at the smell &amp; taste of wheat as it would be rare enough for average citizens to afford. Rest of your tweet is best left in the tandoor.
https://t.co/STF0iZNOpb",0,0,vyangyanik,809,False,Dubai
1358164266474348544,1358190447240376322,2021-02-06 23:06:51+00:00,"@Actor_Siddharth supports #FarmersProtest is crucial for anyone who eats food. #HumanRights violations, exploitation &amp; greed is affects all. #ReleaseNodeepKaur, a woman protestor sexually assaulted in jail by Delhi Police is horrible. Take a stand.
@AP @CNN @VICENews https://t.co/Ois1LkpxUY",0,0,PureIronSingh,326,False,Bramptonian
1358164266474348544,1358176686320144384,2021-02-06 22:12:10+00:00,"@Actor_Siddharth as really aced his role of Karan Singhania  in real life
#rangdebasanti
True patriot https://t.co/1treqlRLkB",0,1,iamshreyas43,40,False,"Mysore, India"
1357965078373388289,1358262886087315459,2021-02-07 03:54:42+00:00,"@PhogatRitu देश के साथ खड़े होने के लिए आपका दिल से आभार! 

बहन @BabitaPhogat को भी @PhogatRitu बहन समझाओं,आज देश उसके उपर धु-धु कर रहा है! समझा उसका बहिष्कार का ऐलान कर दिया है। 

#FarmersProtests https://t.co/tCs3kxY3II",0,0,ankurmandola,995,False,टिकरी की सड़क पर
1357965078373388289,1358165066068099072,2021-02-06 21:25:59+00:00,@PhogatRitu https://t.co/iykpagI4Da,0,0,Hans143Hans,35,False,
