date,user,location,text
2021-03-05 20:49:38,negar_dlt,,"@merlia_kim #BTSNo1GlobalArtist 
#ARMY 
#Army_help 
#NOtoRacism 
#bts_has_been_copied 
🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻shame on them...😊"
2021-03-05 20:33:37,ANGLApp1,,"What do you think the tiger was thinking?

Get the ANGL Safety app for any instance.

Sign up. My goal is 25 downlo… https://t.co/zxPzpIQopB"
2021-03-05 20:05:37,Mitrashadow,,"@566319Kim 💜💜thanks
#NOtoRacism 
#Army_help"
2021-03-05 19:53:37,ArmyBts7905,,"https://t.co/5r5uGh3A1W
RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper mehrad hidden saying h… https://t.co/EspRyKx9wU"
2021-03-05 19:32:17,Meli49135500,,9pm 🇩🇪 time you know #Bayern3_racism #Bayern3_Rassismus #Bayern3Racist #GermanMEDIA_racist… https://t.co/TvCnN2TmUN
2021-03-05 19:05:42,mamalinaaaaa,"London, England","You still have nothing to say for yourselves, silence with guilt. Dealing with racism should be at the top of your… https://t.co/kpqzKBDaG3"
2021-03-05 19:04:19,566319Kim,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/uHnmbfyJAv"
2021-03-05 18:59:00,kjbark67," Central- North Alabama, USA","This is just heartbreaking. Grown ass men acting like children in a play yard. 
#NOtoRacism https://t.co/KqHxNDu2To"
2021-03-05 18:46:16,LmvPAMNKfSaOaxS,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/SGpr1VNQZO"
2021-03-05 18:43:50,Haniii_army,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/3I3IRr6EMl"
2021-03-05 18:39:40,amon_suzanne,Côte d'Ivoire,"@_elaasr_ #NOtoRacism 
#Army_help 
Really, I don't know what's the problem, they just criticize the other persons t… https://t.co/I0MZHF3yO9"
2021-03-05 18:37:15,__taekooki__,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/GbV7jMdO5V"
2021-03-05 18:36:35,BTS7_Bangtan7,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/K9GR5zU1Nz"
2021-03-05 18:35:38,bts_not_R,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/2naMe9IKdV"
2021-03-05 18:35:08,BTS_kimia,,"@BTS_twt Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, w… https://t.co/71FNNMmJT2"
2021-03-05 18:34:39,BTS_kimia,,@IFPI_org @BTS_twt @bts_bighit @taylorswift13 @Drake @theweeknd @billieeilish @Eminem @PostMalone @ArianaGrande… https://t.co/bi0FCmt2qp
2021-03-05 18:19:00,marygo201374,,"I ask for the support of all those who see this message.🙏
#NOtoRacism 
#APOLOGIZE_TO_BTS 
#bts_has_been_copied… https://t.co/7IHxRKvTsk"
2021-03-05 18:12:41,A3izAb,,RACIST!! @NabyDazzler HAS JUST COMMITTED RACISM AGAINST ME!!! HE SAID IM FROM SAUDI ARABIA JUST BECAUSE I LOOK ARAB… https://t.co/SHMtSSlDj5
2021-03-05 18:12:15,Naghme61884779,,RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper mehrad hidden saying harsh words about bts and… https://t.co/B0R0EBxI0x
2021-03-05 18:00:36,Xhtly1,,"Hi army,This is Iranian armys
We just found mehradhiddenofficial(his i‌g)Has been coppied Army logo and, we announc… https://t.co/10ZTZIifgJ"
2021-03-05 17:32:09,Sbaqlm,,"https://t.co/JDgJAe99wM 👈👈👈
Watch this
:)
#NOtoRacism 
#saysorry"
2021-03-05 17:28:46,Mina_sbts,,RACISM AND HOMOPHOBIA AGAINST ASIAN PEOPLE AND BTS (  iranian rapper mehrad hidden saying harsh words about bts and… https://t.co/2reAFpDQhb
2021-03-05 17:27:43,Mina_sbts,,"https://t.co/kb9Xb37Rmd
Please see International Army
#BTSARMY 
#Army_help 
#NOtoRacism 
#bts_has_been_copied"
2021-03-05 17:19:00,Mahshid62297247,,"We need your retweet and help to show what's happening🙏💜
#mehradhiddenApologize
#BTS_respect
#sorry_foryou_hiden… https://t.co/EN64ddOiE0"
2021-03-05 17:14:50,jgiansan,"Los Angeles, CA",We’ve got to stop this Latinx BS.   Out Latino and Latina friends HATE THIS.   It’s an attack on their language and… https://t.co/Lne3FvIUG3
2021-03-05 16:56:34,Mahshid62297247,,"Hi Army, please watch this video and share it with other💜💜
https://t.co/gej43QbQHQ
#BTS_respect
#sorry_foryou_hiden… https://t.co/ouMXL2IDor"
2021-03-05 16:33:12,Hera08938350,MD,"I believe the punishment for racism, bullying, and homophobic comment towards BTS or any group should be donating m… https://t.co/UEl6cC8eeT"
